# action : transmission
# wavelength_unit : um
#
wavelength  transmission
0.8         0.0
0.85        0.4
0.90        0.61
0.96        0.76
0.1         0.74
1.05        0.76
1.10        0.85
1.15        0.87
1.20         0.85
1.25        0.82
1.30         0.81
1.35        0.80
1.40        0.74
1.45        0.79
1.50        0.78
1.55        0.81
1.60        0.82
1.65        0.84
1.70        0.5
1.75        0
